cycle,state_name,district_name,block_name,village_name,N_High,N_Low,N_Medium,P_High,P_Low,P_Medium,K_High,K_Low,K_Medium,S_Sufficient,S_Deficient,OC_High,OC_Low,OC_Medium,PH_Alkaline,PH_Acidic,PH_Neutral,EC_Saline,EC_NonSaline,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Dakodu,1,4,9,4,6,4,0,14,0,13,1,2,0,12,0,0,14,0,14,14,0,14,0,14,0,0,14,14,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Chakirevula,0,6,5,3,4,4,0,11,0,10,1,2,0,9,0,0,11,0,11,0,11,11,0,11,0,0,11,11,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Veeravaram,0,4,6,4,2,4,0,5,5,10,0,1,0,9,0,0,10,0,10,10,0,10,0,10,0,0,10,10,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Atchiyyapeta,0,10,20,28,0,2,2,8,20,24,6,0,0,30,0,0,30,0,30,30,0,0,30,29,1,25,5,28,2
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Papampeta,1,0,3,1,3,0,0,4,0,4,0,4,0,0,0,0,4,0,4,4,0,4,0,4,0,0,4,4,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Mitlapalem,0,8,21,8,7,14,0,29,0,24,5,12,1,16,0,0,29,0,29,11,18,0,29,29,0,29,0,29,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Kovelapalem,0,1,3,3,0,1,0,4,0,4,0,3,0,1,0,0,4,0,4,4,0,4,0,4,0,0,4,4,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Addateegala,1,0,3,0,1,3,0,3,1,4,0,1,1,2,0,0,4,0,4,2,2,0,4,4,0,0,4,3,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Bhimavaram,2,2,2,1,1,4,0,6,0,6,0,2,0,4,0,0,6,0,6,2,4,0,6,6,0,4,2,6,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Mallavaram Mamillu,0,0,2,0,1,1,0,2,0,2,0,2,0,0,0,0,2,0,2,2,0,2,0,2,0,0,2,2,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Anukulapalem,0,3,5,2,2,4,0,8,0,7,1,3,0,5,0,0,8,0,8,6,2,7,1,8,0,0,8,8,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Vedullakonda,0,4,4,4,3,1,0,2,6,8,0,1,0,7,0,0,8,0,8,8,0,8,0,8,0,0,8,8,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Annampalem,1,1,0,0,0,2,0,2,0,2,0,1,0,1,0,0,2,0,2,1,1,0,2,2,0,0,2,2,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Vutlapalem,3,0,14,11,1,5,0,17,0,15,2,3,0,14,0,0,17,0,17,17,0,17,0,17,0,1,16,17,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Somannapalem,0,7,8,8,4,3,0,14,1,13,2,1,0,14,0,0,15,0,15,15,0,15,0,15,0,0,15,15,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Makaram,1,0,8,4,5,0,0,9,0,8,1,7,0,2,0,0,9,0,9,9,0,9,0,9,0,0,9,9,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Ducherthi,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Tirumalawada,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Dabbapalem,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Peddavadisakarra,0,4,5,4,3,2,1,7,1,8,1,4,0,5,0,0,9,0,9,9,0,9,0,9,0,1,8,9,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Tokavalasa,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Ananthagiri,0,16,29,15,19,11,5,14,26,37,8,0,16,29,0,0,44,0,44,43,2,42,3,44,1,1,44,36,9
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Laxmipuram,0,2,1,1,1,1,0,1,2,3,0,1,0,2,0,0,3,0,3,2,1,3,0,3,0,0,3,3,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Tadiguda,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Mondijanguda,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Diguvasobha,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kunapuram,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Bheesupuram,0,7,4,1,4,6,0,5,6,11,0,0,6,5,0,0,11,0,11,9,2,7,4,11,0,0,11,11,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kudiya,0,0,4,4,0,0,0,1,3,4,0,3,0,1,0,0,4,0,4,4,0,4,0,4,0,0,4,3,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Borra,0,9,3,5,5,2,10,0,2,10,2,6,1,5,0,0,11,0,12,12,0,9,3,12,0,0,12,10,2
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Singarbha,0,3,7,4,2,4,0,10,0,8,2,0,7,3,0,0,10,0,10,10,0,9,1,10,0,0,10,10,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Billakota,0,2,0,2,0,0,0,2,0,2,0,2,0,0,0,0,2,0,2,0,2,2,0,2,0,0,2,2,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Tattavalasa,0,0,5,2,1,2,0,3,2,5,0,1,1,3,0,0,5,0,5,0,5,0,5,5,0,0,5,5,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pulusumamidi,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kasipatnam,0,1,4,2,3,0,0,2,3,5,0,1,0,4,0,0,5,0,5,1,4,5,0,5,0,0,5,5,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nandikota,0,1,1,1,1,0,0,0,2,2,0,0,0,2,0,0,2,0,2,0,2,1,1,2,0,1,1,0,2
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pooluguda,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nadimivalasa,0,2,3,0,2,3,0,2,3,4,1,1,3,1,0,0,5,0,5,5,0,3,2,5,0,0,5,5,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Mardaguda,0,2,2,0,3,1,0,1,3,4,0,0,1,3,0,0,4,0,4,2,2,2,2,4,0,0,4,2,2
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Saravani Palem,0,4,1,0,5,0,0,3,2,5,0,1,1,3,0,0,5,0,5,0,5,0,5,5,0,0,5,3,2
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Seetampeta,0,1,4,0,1,4,0,2,3,5,0,1,1,3,0,0,5,0,5,0,5,1,4,5,0,0,5,0,5
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pedakonela,0,2,0,0,0,2,0,2,0,0,2,0,0,2,0,0,2,0,2,2,0,2,0,2,0,0,2,2,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Katturu,1,7,16,4,11,9,1,17,6,22,2,3,13,8,0,0,24,0,24,18,4,19,5,24,0,0,24,24,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Mandaparti,0,2,3,0,2,3,0,3,2,5,0,0,1,4,0,0,5,0,5,0,5,0,5,5,0,0,5,5,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Peda Rabha,0,5,0,2,0,3,0,5,0,3,2,0,1,4,0,0,5,0,5,5,0,5,0,5,0,0,5,5,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nimmalapadu,0,4,6,4,3,3,2,1,7,10,0,0,7,3,0,0,10,0,10,10,0,6,4,10,0,4,6,10,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Karakavalasa,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kantipuram,0,2,0,2,0,0,0,2,0,2,0,0,1,1,0,0,2,0,2,1,1,2,0,2,0,0,2,2,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Garugubilli,0,1,4,3,0,2,0,5,0,3,2,0,0,5,0,0,5,0,5,0,5,0,5,5,0,0,5,5,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Sariapalle,0,4,4,5,3,0,0,0,8,7,1,0,0,8,0,0,8,0,8,4,4,1,7,7,1,0,8,5,3
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Maddigaruvu,0,1,1,0,2,0,2,0,0,2,0,0,2,0,0,0,2,0,2,0,2,0,2,2,0,0,2,2,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Valasi,0,1,10,0,6,5,0,0,11,11,0,0,6,5,0,0,11,0,11,11,0,5,6,9,2,0,11,11,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Jamuguda,0,1,1,0,2,0,0,2,0,2,0,0,2,0,0,0,2,0,2,2,0,2,0,2,0,0,2,1,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gorregommu,0,6,2,4,1,3,1,6,1,8,0,1,4,3,0,0,8,0,8,3,5,7,1,8,0,1,7,8,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Chintapaka,0,0,2,0,1,1,1,0,1,2,0,0,0,2,0,0,2,0,2,1,1,2,0,2,0,0,2,1,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pedagangavaram,0,21,21,3,32,7,4,28,10,41,1,16,8,18,0,0,42,0,42,26,16,32,10,41,1,0,42,40,2
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pedakota,4,0,0,1,0,3,0,4,0,4,0,0,0,4,0,0,4,0,4,2,2,4,0,4,0,0,4,3,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kotaparti,0,5,3,0,5,3,2,6,0,7,1,0,0,8,0,0,7,0,7,8,0,5,3,8,0,0,8,8,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Tamuta,0,2,4,4,2,0,3,0,3,6,0,0,0,6,0,0,6,0,6,6,0,2,4,6,0,0,6,5,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Bandakonda,0,4,0,4,0,0,4,0,0,4,0,3,0,1,0,0,4,0,4,4,0,4,0,4,0,0,4,4,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Patipalle,0,2,4,5,0,1,4,1,1,6,0,3,1,2,0,0,6,0,6,6,0,5,1,6,0,0,6,6,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gangudivalasa,0,0,3,3,0,0,1,0,2,3,0,1,1,1,0,0,3,0,3,0,3,2,1,3,0,0,3,3,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Sorasapodaru,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Buruga,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Sottadivalasa,0,9,16,2,12,11,0,23,2,14,11,0,12,13,0,0,25,1,24,25,0,23,2,25,0,0,25,22,3
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Tokuru,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Totavalasa,0,3,3,0,0,6,0,2,4,6,0,0,4,2,0,0,6,0,6,6,0,6,0,6,0,0,6,6,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Rampalle,1,5,2,3,4,1,0,6,2,8,0,0,5,3,0,0,8,0,8,8,0,7,1,8,0,0,8,8,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Ballagaruvu,0,3,1,2,0,2,0,0,4,2,2,1,0,3,0,0,4,0,4,4,0,4,0,4,0,0,4,3,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Pinakota,0,4,3,3,3,1,3,3,1,6,1,2,0,5,0,0,7,0,7,7,0,7,0,7,0,0,7,6,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Rayipadu,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Lungaparti,1,9,10,3,10,9,5,14,4,22,1,3,5,11,0,0,15,0,17,16,7,19,5,24,0,2,21,24,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Singavaram,0,1,5,3,0,3,0,3,3,4,2,0,0,6,0,0,6,0,6,0,6,0,6,6,0,0,6,6,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Bheemavaram,0,0,4,1,0,3,0,3,1,2,2,0,0,4,0,0,4,0,4,0,4,0,4,4,0,0,4,4,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Chippapalle,0,6,4,4,4,2,0,5,5,8,2,0,0,10,0,0,10,0,10,0,9,5,5,10,0,0,10,10,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kapativalasa,0,0,2,2,0,0,0,1,1,2,0,0,0,2,0,0,2,0,2,2,0,1,1,2,0,0,2,2,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Bembi,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gangavaram,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Bongija,0,0,3,0,1,2,0,2,1,1,2,0,1,2,0,0,3,0,3,3,0,3,0,3,0,0,3,3,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Karaiguda,0,2,3,2,0,3,0,5,0,5,0,0,2,3,0,0,5,0,5,3,2,4,0,5,0,0,4,5,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Nelapalem,0,3,2,1,4,0,0,5,0,5,0,0,3,2,0,0,4,0,4,3,2,4,1,5,0,0,5,5,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Dumbrivalasa,0,3,0,0,0,3,0,2,1,2,1,0,2,1,0,0,3,0,3,3,0,2,1,3,0,0,3,3,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Banjoda,0,0,2,0,2,0,0,0,2,2,0,0,1,1,1,0,1,0,2,1,1,2,0,2,0,0,2,1,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Eguvasobha,0,0,3,0,2,1,0,3,0,3,0,0,0,3,0,0,3,0,3,2,1,2,1,3,0,0,3,2,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Heetaguda,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Gumma,0,4,2,1,1,4,0,5,1,6,0,0,2,4,0,0,6,0,6,6,0,6,0,6,0,0,6,6,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kamalapuram,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Seesamanda,1,0,1,0,0,2,0,1,1,2,0,0,1,1,0,0,2,0,2,2,0,2,0,2,0,0,2,1,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Bandapanuvalasa,3,6,6,3,10,2,1,7,7,15,0,10,2,3,0,0,14,0,15,11,4,1,14,15,0,0,15,15,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Ninnimamidivalasa,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Kothavalasa,0,0,3,0,2,1,0,0,3,1,2,0,1,2,0,0,3,0,3,3,0,0,3,3,0,2,1,3,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Bondam,0,1,3,0,2,2,0,3,1,4,0,1,2,1,0,0,4,0,4,2,2,1,3,4,0,0,4,4,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Rampuduvalasa,0,2,12,2,9,3,0,9,5,12,2,1,0,13,0,0,14,0,14,4,10,0,14,14,0,0,14,14,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Korraguda,0,0,5,1,4,0,0,2,3,3,2,5,0,0,0,0,5,0,5,4,1,0,5,5,0,2,3,5,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Sukuruguda,1,2,0,1,1,1,0,3,0,3,0,3,0,0,0,0,3,0,3,0,3,0,3,3,0,0,3,3,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Janamguda,0,3,1,2,0,2,0,4,0,4,0,4,0,0,0,0,4,0,4,3,1,0,4,4,0,0,4,4,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Sunkarametta,1,0,4,0,5,0,0,2,3,5,0,5,0,0,0,0,5,0,5,0,5,0,5,5,0,2,3,5,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Doraguda,2,10,2,4,6,4,2,7,5,14,0,5,2,7,0,0,13,0,14,9,4,4,10,14,0,1,13,14,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Pitraguda,1,1,3,1,2,2,0,2,3,5,0,1,0,4,0,0,5,0,5,4,1,5,0,5,0,0,5,5,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Gadyaguda,0,3,1,1,2,1,0,3,1,4,0,0,2,2,0,0,4,0,4,2,2,0,4,4,0,1,3,4,0
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Bosubeda,0,6,4,4,2,4,0,5,5,9,1,1,2,6,0,0,9,0,9,8,2,0,10,10,0,0,10,9,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Lotheru,0,5,18,5,12,6,5,6,12,23,0,18,1,4,0,0,23,0,23,12,11,7,16,23,0,0,23,22,1
2024-25,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Kottavalasa,4,3,3,2,7,1,0,8,2,9,1,7,0,3,0,0,10,0,10,0,10,1,9,10,0,0,10,10,0
